cidade,estado,area,num_quartos,num_banheiros,num_andares,aceita_animais,mobilia,valor_aluguel,valor_condominio,valor_iptu,valor_seguro_incendio
0,0,70,2,1,7,1,1,3300,2065,211,42
0,0,320,4,4,20,1,0,4960,1200,1750,63
3,3,80,1,1,6,1,0,2800,1000,0,41
3,3,51,2,1,2,1,0,1112,270,22,17
0,0,25,1,1,1,0,0,800,0,25,11
0,0,376,3,3,1,1,0,8000,0,834,121
1,1,72,2,1,7,1,0,1900,740,85,25
0,0,213,4,4,4,1,0,3223,2254,1735,41
0,0,152,2,2,3,1,1,15000,1000,250,191
1,1,35,1,1,2,1,1,2300,590,35,30
0,0,26,1,1,2,1,1,2100,470,150,27
4,0,46,1,1,10,1,0,580,550,43,8
0,0,36,1,1,11,1,0,2100,359,70,27
0,0,55,1,1,2,1,1,4200,790,224,54
0,0,100,2,2,24,1,1,4370,900,17,56
4,0,330,4,6,1,1,1,8000,680,328,121
0,0,110,2,2,1,1,0,3000,700,122,39
1,1,88,2,3,9,0,1,3500,1614,221,16
1,1,56,2,1,8,1,0,1220,800,0,16
0,0,600,4,5,1,1,0,12000,0,9500,181
0,0,100,7,4,1,1,0,3800,0,118,58
2,2,42,1,1,17,0,1,2690,470,172,36
0,0,160,3,2,18,1,1,1900,1530,167,25
0,0,35,1,1,1,1,0,1100,0,3,14
1,1,90,3,2,7,1,0,1800,800,118,24
0,0,49,1,1,10,1,0,3500,480,42,45
0,0,41,1,1,5,0,1,3000,600,0,39
2,2,64,2,2,11,1,0,1500,352,80,20
4,0,208,3,2,1,1,0,3180,0,100,48
0,0,20,1,1,5,1,1,1800,602,130,23
0,0,55,2,2,6,1,0,1068,780,142,14
0,0,32,1,1,3,1,0,1700,515,29,22
0,0,80,2,2,11,1,0,2550,1208,216,33
1,1,45,1,1,10,1,1,2500,2450,593,33
0,0,350,4,4,8,1,0,4000,2100,500,51
3,3,38,1,1,11,0,0,1750,450,0,26
0,0,30,1,1,1,1,0,1600,460,0,21
2,2,80,3,2,1,1,0,11000,0,425,181
0,0,70,2,1,1,0,0,1150,0,59,18
3,3,40,1,1,6,1,1,2990,390,0,44
0,0,300,4,6,20,1,0,12000,3700,1584,153
0,0,240,3,2,1,1,0,3500,0,292,53
