cidade,estado,area,num_quartos,num_banheiros,num_andares,aceita_animais,mobilia,valor_aluguel,valor_condominio,valor_iptu,valor_seguro_incendio,num_pca_0,num_pca_1,valor_pca_0,valor_pca_1,cluster
0,0,70.0,2,1,7,1,1,3300.0,2065.0,211.0,42,-0.9056130269522484,0.2567322804408954,-0.2810429388850977,0.07418716290592449,0
0,0,320.0,4,4,20,1,0,4960.0,1200.0,1750.0,63,1.9655859967343072,2.68308084255092,1.586442923402029,-0.13369905236028948,5
3,3,80.0,1,1,6,1,0,2800.0,1000.0,0.0,41,-1.5176091868185708,0.14466550665892647,-0.514904741906755,0.03175762547585851,0
3,3,51.0,2,1,2,1,0,1112.0,270.0,22.0,17,-0.9613886721424735,-0.7256214441780058,-0.8572446295403582,0.022564799906942126,0
0,0,25.0,1,1,1,0,0,800.0,0.0,25.0,11,-1.5733848320087958,-0.8376882179599747,-0.9458068940946095,0.015431102729826968,0
0,0,376.0,3,3,1,1,0,8000.0,0.0,834.0,121,0.6446307526713694,-0.9791382799872611,1.5260675941778328,-0.2107402994466018,3
1,1,72.0,2,1,7,1,0,1900.0,740.0,85.0,25,-0.9056130269522484,0.2567322804408954,-0.670848080984316,0.032858035799378696,0
0,0,213.0,4,4,4,1,0,3223.0,2254.0,1735.0,41,1.787103932125587,-0.4604510762295636,1.2459211377018664,-0.039897483523501594,5
0,0,152.0,2,2,3,1,1,15000.0,1000.0,250.0,191,-0.4420667815926232,-0.5154717591260576,1.9931184005314053,-0.20588230860392592,3
0,0,26.0,1,1,2,1,1,2100.0,470.0,150.0,27,-1.5622297029707508,-0.6412174730361945,-0.5764386704099542,0.009013070227717303,0
4,0,46.0,1,1,10,1,0,580.0,550.0,43.0,8,-1.4729886706663906,0.9305484863540474,-0.9698858252317031,0.049974029199909425,0
0,0,36.0,1,1,11,1,0,2100.0,359.0,70.0,27,-1.4618335416283457,1.1270192312778275,-0.6579025898438857,0.009252211409003551,0
0,0,55.0,1,1,2,1,1,4200.0,790.0,224.0,54,-1.5622297029707508,-0.6412174730361945,-0.09402710473787781,-0.01772528466691911,5
0,0,100.0,2,2,24,1,1,4370.0,900.0,17.0,56,-0.20780907179367805,3.6104138842733273,-0.27270536839072745,0.002893982096808176,0
0,0,110.0,2,2,1,1,0,3000.0,700.0,122.0,39,-0.4643770396687132,-0.908413248973618,-0.4231519719187736,0.00723927594527922,0
1,1,88.0,2,3,9,0,1,3500.0,1614.0,221.0,16,0.13303075414745225,0.677031650544792,-0.6641538248569798,0.08496138911558615,0
0,0,600.0,4,5,1,1,0,12000.0,0.0,9500.0,181,2.261805306523257,-1.0361843708727363,11.190988559064445,-1.0163879658912554,1
0,0,100.0,7,4,1,1,0,3800.0,0.0,118.0,58,3.5561616374962832,-1.3030752244263382,-0.14512909897491674,-0.060246081848410564,5
2,2,42.0,1,1,17,0,1,2690.0,470.0,172.0,36,-1.3949027674000756,2.3058437008205086,-0.4188790677666089,-0.005826010132933547,0
0,0,160.0,3,2,18,1,1,1900.0,1530.0,167.0,25,0.32610118480632916,2.3471854435888346,-0.5838747885169799,0.07158571840824106,0
1,1,90.0,3,2,7,1,0,1800.0,800.0,118.0,24,0.2033947653878341,0.1860072494272522,-0.6522060906831262,0.03502450559486825,0
0,0,49.0,1,1,10,1,0,3500.0,480.0,42.0,45,-1.4729886706663906,0.9305484863540474,-0.414966473054787,-0.0074796164301934595,0
0,0,41.0,1,1,5,0,1,3000.0,600.0,0.0,39,-1.5287643158566158,-0.05180523826485377,-0.547028685084327,0.011596484832560396,0
2,2,64.0,2,2,11,1,0,1500.0,352.0,80.0,20,-0.3528257492882631,1.0562942002641844,-0.7530708606280557,0.018141288540380503,0
4,0,208.0,3,2,1,1,0,3180.0,0.0,100.0,48,0.13646399115956406,-0.9928172201154293,-0.3136788730607095,-0.04429281304006993,0
0,0,20.0,1,1,5,1,1,1800.0,602.0,130.0,23,-1.5287643158566158,-0.05180523826485377,-0.6561237098989079,0.024063742229808165,0
0,0,55.0,2,2,6,1,0,1068.0,780.0,142.0,14,-0.40860139447848814,0.07394047564528326,-0.7783892908242438,0.0463410106701858,0
0,0,350.0,4,4,8,1,0,4000.0,2100.0,500.0,51,1.831724448277767,0.3254319034655574,0.14667971650470588,0.039216274856404235,5
3,3,38.0,1,1,11,0,0,1750.0,450.0,0.0,26,-1.4618335416283457,1.1270192312778275,-0.7432522626252871,0.021749655786569972,0
2,2,80.0,3,2,1,1,0,11000.0,0.0,425.0,181,0.13646399115956406,-0.9928172201154293,2.014589568952901,-0.2635722278249918,3
0,0,70.0,2,1,1,0,0,1150.0,0.0,59.0,18,-0.9725438011805185,-0.922092189101786,-0.8061829405664128,0.0024885796554906716,0
0,0,300.0,4,6,20,1,0,12000.0,3700.0,1584.0,153,2.9819195197579176,2.710438722807256,2.784564830762387,-0.10598703396197531,3
0,0,240.0,3,2,1,1,0,3500.0,0.0,292.0,53,0.13646399115956406,-0.9928172201154293,-0.044359246051927426,-0.0674501945589649,5
2,2,45.0,1,1,5,1,0,1631.0,500.0,192.0,12,-1.5287643158566158,-0.05180523826485377,-0.7593382980540335,0.028948071940617243,0
0,0,40.0,1,1,10,1,1,2829.0,978.0,0.0,33,-1.4729886706663906,0.9305484863540474,-0.6352966453057283,0.04205776630827253,0
2,2,100.0,3,1,13,0,0,1220.0,700.0,10.0,17,-0.23784122189570117,1.3511527788417654,-0.8671704321399227,0.04834240224770548,0
3,3,42.0,1,1,2,1,1,1770.0,190.0,17.0,26,-1.5622297029707508,-0.6412174730361945,-0.7273975523934362,0.005354870556118603,0
4,0,48.0,1,1,2,1,1,1600.0,505.0,59.0,21,-1.5622297029707508,-0.6412174730361945,-0.7584849013289361,0.027255165890696004,0
0,0,45.0,1,2,15,1,1,3900.0,856.0,150.0,50,-0.9090462639643605,1.9265811511011164,-0.22865445522267983,-0.001998818807323756,0
1,1,150.0,2,3,6,1,0,4000.0,1700.0,700.0,52,0.09956536703331721,0.08761941577345135,0.36189505745102113,-0.0018738704104092811,5
0,0,60.0,2,1,2,1,0,1445.0,200.0,0.0,19,-0.9613886721424735,-0.7256214441780058,-0.8497802020813823,0.017463489210848768,0
0,0,31.0,1,1,4,1,0,2350.0,370.0,56.0,30,-1.5399194448946607,-0.24827598318863403,-0.6268979315507041,0.006709517681278914,0
0,0,210.0,4,5,4,0,0,9000.0,1650.0,772.0,115,2.295270693637392,-0.44677213610139555,1.3816392770804948,-0.1018267755437333,5
0,0,280.0,3,1,1,1,0,6000.0,0.0,113.0,91,-0.37170277035224125,-1.0064961602435973,0.3459655858152865,-0.10754957320998784,5
4,0,93.0,2,3,9,1,0,5500.0,663.0,133.0,70,0.13303075414745225,0.677031650544792,0.05386174284635758,-0.040631894739053244,5
3,3,75.0,3,2,9,1,0,1800.0,340.0,109.0,27,0.22570502346392413,0.5789487392748126,-0.6185644006946373,0.004921945274671246,0
0,0,194.0,3,4,1,1,0,4000.0,0.0,70.0,61,1.1527975141831748,-0.965459339859093,-0.14856082857528982,-0.06060227070989475,5
0,0,41.0,1,1,6,1,1,4000.0,523.0,131.0,51,-1.5176091868185708,0.14466550665892647,-0.234542017533807,-0.021060436721062146,0
1,1,65.0,1,1,8,1,1,5100.0,2000.0,250.0,66,-1.4952989287424807,0.5376069965064869,0.11889578089017891,0.03250159038244396,5
0,0,70.0,2,1,13,1,0,2150.0,761.0,67.0,28,-0.8386822527239784,1.4355567499835769,-0.6438367611420509,0.031223490599639275,0
0,0,278.0,4,5,16,1,1,9000.0,4052.0,1261.0,115,2.429132242093932,1.9108768029839671,1.888438638014836,-0.003957516427301578,3
1,1,35.0,1,1,5,1,0,1521.0,306.0,21.0,20,-1.5287643158566158,-0.05180523826485377,-0.8129663281984275,0.020384514747056652,0
4,0,300.0,4,4,2,1,0,6000.0,2300.0,417.0,77,1.764793674049497,-0.8533925660771241,0.4546859226760974,0.020031900647282337,5
0,0,61.0,2,1,4,1,0,1850.0,459.0,0.0,24,-0.9390784140663835,-0.3326799543304453,-0.7732757732627275,0.02516036792710775,0
1,1,130.0,3,2,7,1,0,1700.0,1660.0,475.0,22,0.2033947653878341,0.1860072494272522,-0.3168703447383229,0.057865908626461446,0
1,1,80.0,2,1,20,1,0,900.0,500.0,90.0,12,-0.7605963494576634,2.8108519644500385,-0.86247798918256,0.03740947197177525,0
0,0,164.0,4,4,6,0,0,5000.0,2159.0,386.0,64,1.809414190201677,-0.06750958638200313,0.22716218820655149,0.033275369598573974,5
2,2,220.0,4,2,3,1,0,2422.0,450.0,125.0,33,0.7596152800639312,-0.6842797014096801,-0.5116115258353657,0.0012582366060044665,0
0,0,45.0,1,1,1,1,0,1050.0,0.0,46.0,16,-1.5733848320087958,-0.8376882179599747,-0.8493979257424747,0.006459009498461593,0
0,0,108.0,3,2,7,1,0,5600.0,1290.0,435.0,71,0.2033947653878341,0.1860072494272522,0.37749096616500183,-0.030994460063920936,5
2,2,128.0,1,1,4,1,1,2100.0,418.0,182.0,28,-1.5399194448946607,-0.24827598318863403,-0.5293133026977057,0.0019155949200573292,0
1,1,60.0,1,1,10,0,0,1800.0,450.0,48.0,24,-1.4729886706663906,0.9305484863540474,-0.7247856678127205,0.02065983659129934,0
0,0,250.0,4,5,6,1,0,9800.0,2050.0,998.0,125,2.317580951713482,-0.053830646253835046,1.7625673399462716,-0.11198150726664724,3
3,3,47.0,1,1,1,0,1,2200.0,400.0,0.0,33,-1.5733848320087958,-0.8376882179599747,-0.6382649827340806,0.008745954794685368,0
2,2,170.0,4,3,9,0,0,2700.0,744.0,296.0,36,1.3347128158040067,0.5082237082611695,-0.29208642516854694,-0.0003210056355358714,0
0,0,45.0,1,1,1,0,0,1240.0,300.0,0.0,16,-1.5733848320087958,-0.8376882179599747,-0.8943712445296665,0.027564802570315114,0
0,0,42.0,1,1,15,1,0,3500.0,686.0,123.0,45,-1.4172130254761657,1.9129022109729483,-0.3320035046495375,-0.0023265877840041287,0
0,0,164.0,4,4,1,1,0,6000.0,1840.0,550.0,77,1.753638545011452,-1.0498633110009044,0.5868096458539936,-0.01751223162445846,5
0,0,70.0,3,1,1,1,0,1020.0,700.0,200.0,13,-0.37170277035224125,-1.0064961602435973,-0.7351869389257553,0.03836500304413626,0
3,3,100.0,4,3,8,1,0,2200.0,600.0,159.0,33,1.3235576867659617,0.3117529633373893,-0.4764612990100792,0.007082703712754689,0
0,0,64.0,2,2,4,1,1,4500.0,1300.0,440.0,58,-0.4309116525545782,-0.3190010142022772,0.18714494093749842,-0.01203480091851955,5
2,2,68.0,2,1,3,1,0,1200.0,320.0,27.0,16,-0.9502335431044285,-0.5291506992542256,-0.866966850946221,0.026477678046966616,0
0,0,600.0,4,4,9,1,0,8500.0,7400.0,3368.0,108,1.842879577315812,0.5219026483893375,3.930930785487416,0.024333482949463584,1
0,0,63.0,2,2,15,0,0,1550.0,590.0,152.0,20,-0.3082052331360831,1.8421771799593052,-0.6790441161844802,0.02588516384751074,0
0,0,145.0,3,4,1,0,0,6000.0,1200.0,750.0,77,1.1527975141831748,-0.965459339859093,0.7857575939362044,-0.0709882628886018,5
0,0,85.0,2,2,3,0,0,2800.0,1500.0,292.0,36,-0.4420667815926232,-0.5154717591260576,-0.2922486568347734,0.04358128024389575,0
0,0,254.0,4,4,7,1,0,9000.0,3366.0,1800.0,115,1.820569319239722,0.1289611585417771,2.429938148616415,-0.08820637258673825,3
3,3,350.0,4,4,1,1,1,9000.0,1.0,359.0,160,1.753638545011452,-1.0498633110009044,1.632125087827909,-0.22767340219167606,3
0,0,300.0,4,4,1,1,0,3500.0,0.0,584.0,53,1.753638545011452,-1.0498633110009044,0.2509033991395404,-0.09167302602071134,5
2,2,296.0,4,3,1,1,0,13500.0,0.0,423.0,222,1.2454717834996467,-1.0635422511290724,2.6289966957679622,-0.3226926483474063,3
0,0,64.0,2,2,8,1,0,2800.0,450.0,30.0,36,-0.38629113640239815,0.4668819654928438,-0.5625684072302559,0.004800928151034273,0
0,0,133.0,3,2,6,1,0,2957.0,813.0,38.0,38,0.1922396363497891,-0.010463495496528032,-0.5225450911928612,0.022166012576197627,0
4,0,44.0,1,1,7,1,0,550.0,350.0,12.0,7,-1.5064540577805257,0.3411362515827067,-1.0172941735360217,0.042465060848514265,0
4,0,240.0,3,4,1,1,0,3000.0,0.0,250.0,46,1.1527975141831748,-0.965459339859093,-0.19207258711961644,-0.05384403226649855,0
0,0,22.0,1,1,26,1,0,2050.0,302.0,45.0,26,-1.2945066060576707,4.074080405134531,-0.6985095164343215,0.009487017184569634,0
3,3,50.0,1,1,1,1,0,950.0,350.0,50.0,14,-1.5733848320087958,-0.8376882179599747,-0.8736255262380788,0.029190718165112945,0
3,3,67.0,3,2,4,1,0,2200.0,600.0,50.0,33,0.16992937827369908,-0.40340498534408853,-0.5866792042356614,0.016124788059776476,0
0,0,31.0,1,1,6,1,1,2300.0,430.0,0.0,30,-1.5176091868185708,0.14466550665892647,-0.6832155124141722,0.014812965721710354,0
1,1,90.0,2,1,1,1,1,3468.0,850.0,191.0,45,-0.9725438011805185,-0.922092189101786,-0.2624014833350473,0.0014842731321817008,0
1,1,109.0,3,3,1,1,0,3800.0,2000.0,300.0,49,0.6446307526713694,-0.9791382799872611,-0.08613825559528415,0.052935982233962904,0
2,2,400.0,4,2,1,0,0,2500.0,0.0,74.0,41,0.7373050219878412,-1.0772211912572405,-0.44521343904941396,-0.032013929183863664,0
0,0,300.0,4,5,1,1,1,14000.0,0.0,1167.0,211,2.261805306523257,-1.0361843708727363,3.2159262196066147,-0.36850500700919714,3
4,0,284.0,4,3,4,1,0,6000.0,2340.0,483.0,77,1.2789371706137818,-0.4741300163577317,0.5216287911522272,0.016862192773390287,5
3,3,70.0,2,1,3,1,1,2400.0,360.0,30.0,36,-0.9502335431044285,-0.5291506992542256,-0.5630306050997226,-0.00038603211924746576,0
1,1,309.0,4,5,7,1,0,6500.0,2661.0,682.0,84,2.328736080751527,0.14264009866994518,0.8297448684168829,0.008732269122460124,5
0,0,70.0,2,1,1,1,0,2100.0,0.0,134.0,32,-0.9725438011805185,-0.922092189101786,-0.5198568194129636,-0.02397715080904572,0
0,0,360.0,3,4,10,1,0,10000.0,2300.0,584.0,127,1.25319367552558,0.8027773644549291,1.3752951481726743,-0.06612197086892248,3
0,0,30.0,1,1,10,0,0,1500.0,886.0,0.0,20,-1.4729886706663906,0.9305484863540474,-0.8312223619974765,0.05555364499201921,0
4,0,80.0,2,2,11,1,0,2200.0,832.0,171.0,28,-0.3528257492882631,1.0562942002641844,-0.5383101003649611,0.026688116088282133,0
2,2,133.0,4,4,6,0,0,7000.0,1500.0,800.0,94,1.809414190201677,-0.06750958638200313,1.0934496342302096,-0.08242827739914044,5
0,0,38.0,1,1,14,0,1,2800.0,1620.0,279.0,36,-1.4283681545142106,1.7164314660491682,-0.3047776477604928,0.05157564100039938,0
0,0,73.0,2,2,7,1,0,3500.0,1100.0,100.0,45,-0.39744626544044315,0.2704112205690635,-0.3531343836260313,0.02344139221141573,0
0,0,155.0,3,4,4,1,0,2000.0,1500.0,150.0,26,1.1862629012973098,-0.37604710508775235,-0.5861839377826963,0.069820956933252,0
