cidade,estado,area,num_quartos,num_banheiros,num_andares,aceita_animais,mobilia,valor_aluguel,valor_condominio,valor_iptu,valor_seguro_incendio
0,0,70.0,2,1,7,1,1,3300.0,2065.0,211.0,42
0,0,320.0,4,4,20,1,0,4960.0,1200.0,1750.0,63
3,3,80.0,1,1,6,1,0,2800.0,1000.0,0.0,41
3,3,51.0,2,1,2,1,0,1112.0,270.0,22.0,17
0,0,25.0,1,1,1,0,0,800.0,0.0,25.0,11
0,0,376.0,3,3,1,1,0,8000.0,0.0,834.0,121
1,1,72.0,2,1,7,1,0,1900.0,740.0,85.0,25
0,0,213.0,4,4,4,1,0,3223.0,2254.0,1735.0,41
0,0,152.0,2,2,3,1,1,15000.0,1000.0,250.0,191
1,1,35.0,1,1,2,1,1,2300.0,590.0,35.0,30
0,0,26.0,1,1,2,1,1,2100.0,470.0,150.0,27
4,0,46.0,1,1,10,1,0,580.0,550.0,43.0,8
0,0,36.0,1,1,11,1,0,2100.0,359.0,70.0,27
0,0,55.0,1,1,2,1,1,4200.0,790.0,224.0,54
0,0,100.0,2,2,24,1,1,4370.0,900.0,17.0,56
4,0,330.0,4,6,1,1,1,8000.0,680.0,328.0,121
0,0,110.0,2,2,1,1,0,3000.0,700.0,122.0,39
1,1,88.0,2,3,9,0,1,3500.0,1614.0,221.0,16
1,1,56.0,2,1,8,1,0,1220.0,800.0,0.0,16
0,0,600.0,4,5,1,1,0,12000.0,0.0,9500.0,181
0,0,100.0,7,4,1,1,0,3800.0,0.0,118.0,58
2,2,42.0,1,1,17,0,1,2690.0,470.0,172.0,36
0,0,160.0,3,2,18,1,1,1900.0,1530.0,167.0,25
0,0,35.0,1,1,1,1,0,1100.0,0.0,3.0,14
1,1,90.0,3,2,7,1,0,1800.0,800.0,118.0,24
0,0,49.0,1,1,10,1,0,3500.0,480.0,42.0,45
0,0,41.0,1,1,5,0,1,3000.0,600.0,0.0,39
2,2,64.0,2,2,11,1,0,1500.0,352.0,80.0,20
4,0,208.0,3,2,1,1,0,3180.0,0.0,100.0,48
0,0,20.0,1,1,5,1,1,1800.0,602.0,130.0,23
0,0,55.0,2,2,6,1,0,1068.0,780.0,142.0,14
0,0,32.0,1,1,3,1,0,1700.0,515.0,29.0,22
0,0,80.0,2,2,11,1,0,2550.0,1208.0,216.0,33
1,1,45.0,1,1,10,1,1,2500.0,2450.0,593.0,33
0,0,350.0,4,4,8,1,0,4000.0,2100.0,500.0,51
3,3,38.0,1,1,11,0,0,1750.0,450.0,0.0,26
0,0,30.0,1,1,1,1,0,1600.0,460.0,0.0,21
2,2,80.0,3,2,1,1,0,11000.0,0.0,425.0,181
0,0,70.0,2,1,1,0,0,1150.0,0.0,59.0,18
3,3,40.0,1,1,6,1,1,2990.0,390.0,0.0,44
0,0,300.0,4,6,20,1,0,12000.0,3700.0,1584.0,153
0,0,240.0,3,2,1,1,0,3500.0,0.0,292.0,53
2,2,200.0,4,2,7,0,0,2550.0,850.0,9.0,34
2,2,45.0,1,1,5,1,0,1631.0,500.0,192.0,12
0,0,360.0,4,5,1,1,0,6410.0,4000.0,2000.0,82
0,0,40.0,1,1,10,1,1,2829.0,978.0,0.0,33
2,2,100.0,3,1,13,0,0,1220.0,700.0,10.0,17
3,3,42.0,1,1,2,1,1,1770.0,190.0,17.0,26
4,0,250.0,3,3,1,1,0,1700.0,2200.0,256.0,22
4,0,48.0,1,1,2,1,1,1600.0,505.0,59.0,21
1,1,90.0,3,3,10,1,0,3800.0,1250.0,147.0,49
0,0,45.0,1,2,15,1,1,3900.0,856.0,150.0,50
1,1,150.0,2,3,6,1,0,4000.0,1700.0,700.0,52
0,0,60.0,2,1,2,1,0,1445.0,200.0,0.0,19
0,0,31.0,1,1,4,1,0,2350.0,370.0,56.0,30
0,0,210.0,4,5,4,0,0,9000.0,1650.0,772.0,115
0,0,280.0,3,1,1,1,0,6000.0,0.0,113.0,91
4,0,93.0,2,3,9,1,0,5500.0,663.0,133.0,70
3,3,75.0,3,2,9,1,0,1800.0,340.0,109.0,27
0,0,194.0,3,4,1,1,0,4000.0,0.0,70.0,61
0,0,41.0,1,1,6,1,1,4000.0,523.0,131.0,51
1,1,65.0,1,1,8,1,1,5100.0,2000.0,250.0,66
0,0,70.0,2,1,13,1,0,2150.0,761.0,67.0,28
0,0,278.0,4,5,16,1,1,9000.0,4052.0,1261.0,115
1,1,35.0,1,1,5,1,0,1521.0,306.0,21.0,20
4,0,300.0,4,4,2,1,0,6000.0,2300.0,417.0,77
0,0,61.0,2,1,4,1,0,1850.0,459.0,0.0,24
1,1,130.0,3,2,7,1,0,1700.0,1660.0,475.0,22
1,1,80.0,2,1,20,1,0,900.0,500.0,90.0,12
0,0,164.0,4,4,6,0,0,5000.0,2159.0,386.0,64
2,2,220.0,4,2,3,1,0,2422.0,450.0,125.0,33
0,0,45.0,1,1,1,1,0,1050.0,0.0,46.0,16
0,0,108.0,3,2,7,1,0,5600.0,1290.0,435.0,71
2,2,128.0,1,1,4,1,1,2100.0,418.0,182.0,28
1,1,60.0,1,1,10,0,0,1800.0,450.0,48.0,24
0,0,250.0,4,5,6,1,0,9800.0,2050.0,998.0,125
3,3,47.0,1,1,1,0,1,2200.0,400.0,0.0,33
2,2,170.0,4,3,9,0,0,2700.0,744.0,296.0,36
0,0,45.0,1,1,1,0,0,1240.0,300.0,0.0,16
0,0,42.0,1,1,15,1,0,3500.0,686.0,123.0,45
0,0,164.0,4,4,1,1,0,6000.0,1840.0,550.0,77
0,0,70.0,3,1,1,1,0,1020.0,700.0,200.0,13
3,3,100.0,4,3,8,1,0,2200.0,600.0,159.0,33
0,0,64.0,2,2,4,1,1,4500.0,1300.0,440.0,58
2,2,68.0,2,1,3,1,0,1200.0,320.0,27.0,16
2,2,75.0,2,2,14,0,0,2500.0,620.0,264.0,34
0,0,600.0,4,4,9,1,0,8500.0,7400.0,3368.0,108
0,0,63.0,2,2,15,0,0,1550.0,590.0,152.0,20
0,0,145.0,3,4,1,0,0,6000.0,1200.0,750.0,77
0,0,85.0,2,2,3,0,0,2800.0,1500.0,292.0,36
0,0,254.0,4,4,7,1,0,9000.0,3366.0,1800.0,115
3,3,350.0,4,4,1,1,1,9000.0,1.0,359.0,160
0,0,300.0,4,4,1,1,0,3500.0,0.0,584.0,53
2,2,296.0,4,3,1,1,0,13500.0,0.0,423.0,222
0,0,64.0,2,2,8,1,0,2800.0,450.0,30.0,36
0,0,133.0,3,2,6,1,0,2957.0,813.0,38.0,38
4,0,44.0,1,1,7,1,0,550.0,350.0,12.0,7
4,0,240.0,3,4,1,1,0,3000.0,0.0,250.0,46
3,3,70.0,3,2,4,1,0,2500.0,490.0,8.0,37
0,0,22.0,1,1,26,1,0,2050.0,302.0,45.0,26
3,3,50.0,1,1,1,1,0,950.0,350.0,50.0,14
3,3,67.0,3,2,4,1,0,2200.0,600.0,50.0,33
0,0,31.0,1,1,6,1,1,2300.0,430.0,0.0,30
1,1,90.0,2,1,1,1,1,3468.0,850.0,191.0,45
1,1,109.0,3,3,1,1,0,3800.0,2000.0,300.0,49
2,2,400.0,4,2,1,0,0,2500.0,0.0,74.0,41
0,0,300.0,4,5,1,1,1,14000.0,0.0,1167.0,211
4,0,284.0,4,3,4,1,0,6000.0,2340.0,483.0,77
3,3,70.0,2,1,3,1,1,2400.0,360.0,30.0,36
1,1,309.0,4,5,7,1,0,6500.0,2661.0,682.0,84
0,0,70.0,2,1,1,1,0,2100.0,0.0,134.0,32
0,0,360.0,3,4,10,1,0,10000.0,2300.0,584.0,127
0,0,30.0,1,1,10,0,0,1500.0,886.0,0.0,20
4,0,80.0,2,2,11,1,0,2200.0,832.0,171.0,28
2,2,133.0,4,4,6,0,0,7000.0,1500.0,800.0,94
0,0,38.0,1,1,14,0,1,2800.0,1620.0,279.0,36
0,0,73.0,2,2,7,1,0,3500.0,1100.0,100.0,45
0,0,155.0,3,4,4,1,0,2000.0,1500.0,150.0,26
0,0,63.0,2,2,15,1,0,3200.0,357.0,50.0,41
0,0,58.0,2,1,1,1,0,1400.0,0.0,0.0,18
0,0,48.0,1,1,9,0,1,3450.0,377.0,0.0,44
0,0,210.0,3,4,7,1,0,2790.0,1700.0,834.0,36
